owner_name,owner_id,stake,team_id
Miss Bethany Wilson,1,229459,6
Mr. Johnny Ingham,2,699003,7
Mr. Tyler Brooks,3,726085,10
Mr. Liam Simpson,4,657710,8
Mr. Barry Saunders,5,621592,6
Mr. Harry Bloom,6,334464,12
Mr. Peter Widdows,7,244393,3
Mr. Russel White,8,614135,5
Mr. Benjamin Paterson,9,346564,8
Mr. Gil Oldfield,10,961375,7
Mrs. Jennifer Doherty,11,273739,8
Mr. Russel Rowlands,12,216746,5
Miss Tania Cork,13,450069,12
Miss Margot Wild,14,171573,7
Mrs. Beatrice Cooper,15,701585,6
Mr. Denny Roth,16,664152,11
Mrs. Alessia Radcliffe,17,377080,8
Miss Paula Moss,18,354043,7
Miss Faith Ross,19,57058,12
Mrs. Crystal Evans,20,67957,9
Miss Zara Mitchell,21,137689,6
Mrs. Elena Freeburn,22,833547,11
Ms. Rae Hogg,23,965212,4
Mrs. Rihanna Durrant,24,813082,12
Miss Chanelle Murray,25,544541,3
Ms. Camila Collingwood,26,31972,6
Mr. Enoch Penn,27,153842,1
Mr. Hayden Andersson,28,653229,9
Miss Victoria Morgan,29,62745,6
Mrs. Elena Lee,30,957408,5
Mr. Erick Hood,31,845031,10
Mr. Daron Ralph,32,34587,1
Ms. Victoria Patel,33,817977,2
Mrs. Bridget Asher,34,945497,7
Miss Colleen Pickard,35,224799,5
Mr. Tom Hogg,36,617170,6
Mrs. Susan Drummond,37,151163,11
Mr. Tom Villiger,38,473173,9
Ms. Eve Harris,39,124045,6
Miss Cristal Nayler,40,96080,2
Mr. Clint Doherty,41,880636,11
Ms. Winnie Noach,42,2998,4
Ms. Sarah Tennant,43,548175,9
Mr. Leroy Blackburn,44,21193,11
Ms. Ember Edwards,45,241255,10
Miss Francesca Sherwood,46,364733,10
Mrs. Sabina Power,47,269374,6
Ms. Dani Edwards,48,710326,2
Mr. Sebastian Lindsay,49,617760,9
Mrs. Ada Hancock,50,265706,8
Mrs. Hailey Underhill,51,302094,1
Mr. Phillip Cameron,52,838763,1
Mrs. Elena Shaw,53,268003,1
Mr. Benny Ward,54,378902,4
Mrs. Jennifer Maxwell,55,842694,11
Mr. John Gunn,56,202643,8
Mr. Fred Dunbar,57,586532,2
Mr. Carl Taylor,58,725859,1
Mr. Maxwell Curtis,59,999288,2
Mr. Leroy Sinclair,60,311179,8
Mr. Matthew Dale,61,84914,1
Mrs. Summer Young,62,167959,2
Mrs. Adeline Murphy,63,473532,10
Mr. Daniel Emmott,64,177103,10
Mr. Kurt Briggs,65,719879,4
Mr. Harvey Bell,66,557132,5
Mr. Peter Pierce,67,503044,2
Ms. Jackeline Hamilton,68,30879,8
Mr. Nick Richards,69,368330,12
Mrs. Angela Wilkinson,70,47597,12
Mrs. Holly Coleman,71,115523,1
Ms. Samara Allen,72,52411,10
Mr. Denis Oakley,73,588284,2
Mrs. Rita Owens,74,551691,2
Mr. Joseph Lambert,75,298002,2
Mrs. Selena Eaton,76,818244,11
Mr. Carter Hunt,77,718266,10
Mrs. Jazmin Wright,78,82039,4
Mr. Alexander Addis,79,64168,5
Mr. Bart Upsdell,80,285255,2
Mr. Tom Wellington,81,723506,8
Mr. Leroy Kelly,82,454018,12
Mr. Eduardo Hamilton,83,260071,2
Mr. Liam Farrell,84,716885,4
Mr. Chadwick Oldfield,85,694154,9
Mr. Nicholas Whitmore,86,566096,3
Mr. Boris Callan,87,552257,4
Mr. Bob Hunt,88,665289,1
Mr. Hayden Tait,89,167771,2
Mr. Enoch Matthews,90,347076,3
Mr. Carl Mcneill,91,61577,11
Mr. Peter Haines,92,486726,1
Mr. Ryan Hunter,93,419934,7
Mr. Liam Keys,94,800557,3
Mr. Lucas Truscott,95,482526,9
Mr. Liam Cameron,96,666974,9
Mr. Tony Weston,97,183897,3
Mr. Gabriel Ingram,98,576388,7
Mr. Lucas Edler,99,876559,11
Mr. Henry Dobson,100,736089,2
Mr. Tom Roscoe,101,247846,4
Mr. Chuck Clayton,102,475985,12
Mr. Brad Stanley,103,800587,1
Mr. Nate Boyle,104,566783,10
Mr. Nicholas Simpson,105,250279,10
Mr. Matthew Robe,106,172089,9
Mr. Rufus Benfield,107,669428,10
Mr. Maxwell Farrell,108,867438,10
Mr. Percy Chadwick,109,780409,9
Mr. Tom Johnson,110,389114,1
Mr. Benny Boden,111,291911,4
Mr. Eduardo Bradley,112,362963,12
Mr. Johnny Roman,113,318707,11
Mr. Nate Hopkins,114,357235,8
Mr. Luke Dann,115,211367,7
Mr. Tyson Zaoui,116,758785,6
Mr. Lucas Dallas,117,265844,6
Mr. Mark Ellery,118,469615,5
Mr. Jayden Glass,119,535365,7
Mr. Rocco Cobb,120,586029,9
Mr. Ethan Lindop,121,858834,3
Mr. Ron Whatson,122,394308,12
Mr. Rick Rowe,123,727621,4
Mr. Percy Hewitt,124,591345,1
Mr. Oliver Tutton,125,759921,5
Mr. Matthew Knight,126,48412,1
Mr. Ethan Latham,127,556509,5
Mr. Erick Dyson,128,604212,11
Mr. Johnathan Giles,129,666908,1
Mr. Oliver Morris,130,102332,3
Mr. Bryon Henderson,131,164319,3
Mr. Owen Khan,132,548585,4
Mr. Anthony Upsdell,133,383166,1
Mr. Tyler Riley,134,23214,12
Mr. George Bristow,135,91606,3
Mr. Nate Clark,136,450720,11
Mr. Luke Noon,137,66737,10
Mr. Mark Redden,138,342668,6
Mr. Tyson Rogers,139,954212,2
Mr. Martin Redden,140,683606,12
Mr. Julius Addley,141,67375,5
Mr. Mike Verdon,142,689148,1
Mr. Noah Snow,143,556236,9
Mr. Alexander King,144,550302,3
Mr. Maxwell Mullins,145,842391,8
Mr. Mason Hammond,146,20617,7
Mr. Jayden Hood,147,484214,3
Mr. Ethan Villiger,148,986003,5
Mr. Daron Wilkinson,149,791263,6
Mr. Matt Allcott,150,580207,3

